video_id,video_title,author,text,likes
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@akashfernando1927,Nope,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@antoniodevita5687,PEPSI,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@Mariosergio-fj2kq,Muito bom mesmo,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@PUHAHAHAHHAHAHA,🤮,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@willsalazarramirez5139,CHICLAYO PERU 🇵🇪 🇺🇸 🇧🇷,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@mattheus5120,Aniraaaaa,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@saymoncardoso,"até hoje esperando o tal ""hit do ano"".",1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@AreiasPlay,O comercial deu mais certo que o hit do ano kkk,9
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@emyj.6057,"""""""""""""""""""""""""""""""""""""""""""""""""HIT DO ANO""""""""""""""""""""""""""""""""""""""""""""""""",1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@of.brunoo,"As propagandas foram mais famosas e visualizadas que o tal ""Hit do ano""😂",2
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@nonametrigger,Hi,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@fabianaluansantana7798,Luana Santana,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@supertrens7879,propaganda mais chata de todos os tempos kk,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@larajardim6534,Pablo vitar,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@davidkardashian8841,Song??,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@davisonjunior1606,voltaria na Anita três vezes,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@darinhareis9451,Parabéns à Pablo! Vencedora! 💖💖💖💖💖💖💖,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@beatriz94s,"Quem ganhou foi: Luan Santana, Simone e Simaria e Pablo Vittar",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@jovelinameira2045,Gahahsh,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@amadiledeus9683,anita é amelo,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@thiagoaguiarvoz,"Lixo! Isso não representa nem de longe a cultura brasileira... O Brasil é muito maior do que toda essa mediocridade que vocês tentam empurrar goela abaixo! Que papel ridículo, Coca-Cola!",1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@warleidias7242,KD os artistas ??? deixei de compra coca por causa dessa propaganda com gente de baixo nivel,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@Lucas-wd3qh,Pabllo Vittar rainhaaa. Os falsos moralistas estão surtados kkkkkkkkkk.,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@thiaguinhogameplays,Todos menos Pablo Vittar e Valesca Popozuda por favor kkkkk,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@ricardoss348,Talvez eles façam outro vídeo com artistas de verdade... Quando eles nascerem por que esses de hoje fazem muita coisa mas arte NÃO mesmo!,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@gabrielb.dasilva5403,#BolsonaroNaPepsi,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@charlesmagno100,"mesmo eles sabendo q o público não gosta desses pseudo artistas, q os mesmos não possuem talentos e q só contribuem negativamente para com a sociedade...
POR QUE SERÁ Q ELES INSISTEM???????",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@massena9508,"Essa propaganda só da mais raiva dessa bixa kk, parabéns coca-cola",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@TheEspadan,Falaram 9 artistas mas n vi nenhum..,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@angelisesantosnascimento9402,a anitta so sabe rebolar,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@rafaelveiga6760,Pepsi 100%,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@rafaelleiva8871,"Super artistas? só tem lixo ae, em almoço de familia já não deixo comprarem coca pelo mal que faz, agora então, vou nem passar perto.",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@Cabral332,Que artistas?????????????????????????????????????????????????????????????,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@edineuza1038,Vou comprar Fanta,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@raahapalves2639,artista que e artista faszmusica de verdade e esses nao canta nada,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@johnnyover,"NOVE (que na verdade são 10) ""SUPER"" ""ARTISTAS""",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@UmRichard,"pelo menos posso pular o cormecial ahsuhauhsuhs



só zuera memo ._.",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@thallesvap,segura mais 1 deslike,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@isabellaassef2892,#voltarato,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@yunamistake2157,"Olha! Vou tomar coca *ve a cara de um desses ''artistas'' representados*... Esquece, água gelada já ta bom.",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@vivikasantos2513,"Anita, pabllo vittar e Simone e Simaria",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@misteriosom,Que mico aposto que hj em dia deve ouvir eles kkkkk,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@JoaoVictor-np2fp,Tinha que ter a mc loma e as gêmeas lacração 😢,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@darinhareis9451,Linda pabllo!💞💞💞,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@fabio8470,Pô mó sacanagem de não ter chamado o Zeca Pagodinho😥😂,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@davidbatista6n993,ccb,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@shlysion,"Massa seria se tivesse:

3 desenvolvedores de jogos...
Mas só um vai ganhar dinheiro para mais um jogo...
Toby Fox, TheMeatly e Scott Cawthon... 
Você decide quem é o melhor!",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@karinuzumaki7774,"Passei um dia procurando os 9 super artistas, mas não achei nenhum 😐",1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@nathanvictoroliveira7512,kkk pabllo vittar e muitor melior,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@janetemaciel7117,Pabulo.  Vitar.   Annita.  Ludimila,2
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@Willian1997,A coca cola do Pablo vem com canudo?,32
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@leticiamarquezin2519,"Annita,Pablo vitar,simone.e Simaria.😎😎😎😍😍😍😘😘😘",1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@fabianodias7385,"Nem super,nem artista",1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@marialuciasilva6808,luan santana ele e o melor,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@marquinhosllimavoz,Saudades do tempo em que artista tinha talento!!!,2
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@reginacelia2854,"As AC       hmveejjrwqvnkkoo, o t6oiii qww",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@reginacelia2854,De kmwwwww 55 deawezwz,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@reginacelia2854,De kmwwwww 55 deawezwz,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@leonardoantonio2838,#voltagarrafas chaveiros,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@jessecappeletti32,Esse vídeo é um bom tutorial de como estragar um produto estampando pessoas que só tem o título de artista. Nada mais.,2
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@juniorbill8606,"Rapa! Sinceramente! Só Lixo mesmo..
Estou Plenamente de Acordo..
É um Sensacionalismo Brutal em Pleno Século 21😢",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@deboraborgesferreira4384,Pedro falo qui a  lujimila  era  feia  😖😔😰💔,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@IM_RenatoPC,vem com canudo e fanta no lugar da coca,7
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@darinhareis9451,PABLLO é maravilhosa!💝💝,7
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@fabypaodemel,The Monster Owl kkkkkkkkkkkkkk,0
